운영기관명,상품명,운영기관구분,상품구분,학자금유형구분,대학구분,학년구분,학과구분,성적기준,소득기준,지원금액,특정자격,지역거주여부,신청기간,선발방법,선발인원,자격제한,추천필요여부,제출서류
목포가톨릭대학교,목포한사랑병원산학협력장학금,대학교,장학금,기타,"4년제(5~6년제포함),특정대학","대학7학기,대학8학기이상",특정학과,제한없음,제한없음," - 1학기 400만원(연간600만원), 복무조건으로 등록금과는 무관관", - 2022년 간호학과 졸업예정자로 성적이 우수하고 품행이 단정한 자  - 지도교수의 추천을 받은 자 - 졸업 후 본원에서 1년~2년 이상 또는 장기 근무 가능한 자,제한없음, - 2021-07-22 ~ 2021-08-06 (기간 임시로 설정),기준없음, - 00명명,제한없음, - 지도교수님께 희망의사 표시시, - 이력서 (자유서식)
한국장학재단,인문100년장학금,한국장학재단,장학금,성적우수,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학신입생","교육계열,사회계열,인문계열", * 계속장학생(전공확립유형) - 백분위 87점 이상 또는 평점 3.50/4.5만점(3.30이상/4.3만점)  - 최소이수학점 기준 : 직전학기 12학점 이상 * 장학생 중간 평가(2+2) 대상자 - 계절학기 및 재수강 취득 성적을 포함하여 직전 2년간(1∼2학년) 4개 학기(5년제는 5개학기) 성적이 백분위 87점 이상 또는 평점 3.5이상/4.5만점(3.3이상/4.3만점) 성적기준 충족시 나머지 2년간 계속 지원  ※ 자세한 사항은 한국장학 홈페이지 참고,제한없음," - 등록금 : 장학생 선정 후 매학기별 등록금 전액 지원 (입학금, 수업료, 기성회비) - 생활비 : 2019년 이후 선발된 장학생은 계속지원 충족 및 대학의 학생 자체평가 후 학기당 2,000,000원 지원  - 기초생활수급자 : 계속지원 기준을 충족하는 기초생활수급자는 학기당 2,000,000원 추가지원", * 대한민국 국적소지자로서 국내 4년제 대학의 인문사회계열 학과(부)에 재학중인 1학년 신입생 또는 3학년 - 전공탐색 : 1학년 신입생 - 전공확립 : 3학년 재학생,제한없음, -2021-05-07~2021-05-14, - 대학별 배정인원 범위 내에서 선발기준에 따라 대학별 자체 선발, ※ 학교마다 선발하는 인원이 상이하므로 장학부서에 확인 필수, - 인문100년 장학금 장학생 자격 유지자 또는 기존 인문 100년장학생으로 선발된 후 영구탈락 된 학생 - 한국장학재단에서 운영중인 타 장학금 기수혜자 또는 장학생 자격 유지자 - 계약학과(등록금전액/일부지원) 선발제외 ※ 자세한 사항 첨부파일 참고,불필요," - 신규장학생: 전공탐색유형, 전공확립유형 : 학업계획서, 전인적성장계획서  - 재학중 우수자: 대학자체선발 : 재단으로 직접 제출하는 서류 없음  - 계속장학생: 중간평가(2+2) : 중간평가서, 학업장려비 : 진도보고서, 교수평가서 ※ 자세한 사항은 한국장학재단 홈페이지 참고"
한국장학재단,우수학생 해외유학장학금,한국장학재단,장학금,성적우수,"4년제(5~6년제포함),전문대(2~3년제),해외대학","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 신청 시점을 기준으로 고교 재학 중 직전학기까지 전체 학기 동안 이수한 국어,영어,수학,과학,사회,전문교과* 과목 중 석차 3등급 이내 또는 성취도(학점) A이상인 과목들의 이수단위 합계가 24단위 이상(3학년) 또는 12단위 이상(2학년) * 특성화고 또는 예체능고만 포함 ※ 고등학교 재학 중 우수고등학생 해외유학 장학금(드림장학금) 선발된 자로서, 전환 심의 후 선발·지원", - 신청일 기준 기초생활수급자 또는 차상위계층인 자, - 연간 최대 6만 USD('학비'+'체재비' 범위 내) - 항공료 지원 * 자세한 사항은 홈페이지 참조, - 대한민국 국적자 - 국내 고교 재학 중 외국 대학 입학을 희망하여 우수고등학생 해외유학 장학금(드림장학금)에 선발된 자 중 해외대학에 최종 합격(또는 지원)하여 전환 선발된 자 ※ 고등학교 졸업 차차년도 2월 말일까지 신규 입학 확정시에만 유학생 전환 심의 가능,제한없음," - 2020-03-11 ~ 2020-05-07 ※ 고등학교 재학 중 우수고등학생 해외유학 장학금(드림장학금) 선발된 자로서, 전환 심의 후 선발·지원"," - 서류심사 → 인·적성검사 → 심층면접심사 - 학업실적, 발전가능성, 유학에 대한 의지 등을 종합적으로 평가", - 00명," - 주민등록상 해외이주 신고자, 영주권자 제외 - 교육부 비인가 고등학교 및 외국계 고등학교 재학생 제외",불필요, - 보호자 개인정보 동의서 - 학교생활기록부 - 자기소개 - 교사의견서 - 기초생활수급자 또는 차상위계층증명서 (택1)  * 자세한 사항은 홈페이지 참조
국립국제교육원,국비유학생,관계부처,장학금,기타,제한없음,"대학8학기이상,박사과정,석사2학기이상,석사신입생(1학기)","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음, - 꿈나래 전형의 경우 수급권자·차상위계층·한부모지원대상자, - 국가별 차이있음. 첨부자료 확인. (1년 단위로 장학금 지급)," - 한국사능력검정시험 3급(또는 4급) 이상인 사람 - 외국어 시험 성적(첨부파일 참고)을 충족하는 사람 - 국내대학 졸업자, 2021년 8월말 졸업예정자 또는 이와 같은 수준 이상의 학력이 있는 자※ 자세한 사항은 첨부파일 참조",제한없음, - 2021-05-17 ~ 2021-05-28, - 1차 서류심사 - 2차 면접시험, - 일반전형 : 40명 - 꿈나래전형 : 20명 - 기술기능인 전형 : 4명, - 원격대학 및 기술대학의 경우 전문학사학위를 받았거나 받을 예정인 사람은 제외 - 남자는 군필 또는 면제자 - 이중국적자의 경우 국비유학 전까지 외국국적을 포기해야 함 - 자격취득과정은 지원불가," - 학교의 장의 추천 * 단, 독학자의 경우는 제외"," - 응시원서 - 대학졸업증명서  - 병적증명서 - 대학 전 과정 성적증명서 - 주민등록등본, 가족관계증명서 (공고일 이후 발급분) - 추천서 - 외국어 시험 성적표 - 지원분야 관련 대외활동 실적 기술서 및 증빙서류 - 국외수학 계획서 - 대학원 전 과정 성적증명서(대학원 졸업자만 해당) - 저소득층 특별선형 응시자격 입증서류(저소득측 특별전형 응시자해당) - 중소기업재직경력표(기술기능인 전형 응시다 해당) - 개인정보 제공 및 고유식별정보 처리 동의서 * 자세한 사항은 첨부자료 참고 필수"
광주남구장학회,행복나눔 장학생,지자체,장학금,지역연고,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음","  - 직전학기 12학점 이상 취득하고, 성적 평균 2.75 이상인 자", - 2020년도 기준 중위소득 150% 이하인 가구의 대학생 자녀," - 1인당 1,000,000원 * 생활비 지원", - 보호자 또는 본인이 선발 공고일 현재 주민등록상 주소지가 광주광역시 남구로 1년 이상 두고 신청 요건을 갖춘 자, - 보호자 또는 본인이 선발 공고일 현재 주민등록상 주소지가 광주광역시 남구로 1년 이상 두고 신청 요건을 갖춘 자, - 2020-10-07 ~ 2020-10-21, - 1차 심사(사무국) - 2차 심사(심사위원회 확정), - 12명," - 20년도 (재)남구장학회의 '코로나-19 특별장학생' 중복 신청자 - 20년도 빛고을장학재단 특별장학생 수혜자 - 원격대학(방송통신대학, 사이버대학), 기술대학, 2년 미만 교육과정의 각종 학교, 평생교육법에 의거 설립한 학교 재학생 - 한 세대당 1명 지급 원칙"," - 대학교 총장(단, 단과대학 위임시는 단과대학장)", - 장학금 지원 신청서 - 주민등록등본 - 부모명의의 가족관계증명서 - 건강보험료 납부확인서(2020년 6월~8월) - 성적증명서 - 재학증명서 - 개인(신용)정보 수집·이용·제공 및 조회 동의서 - 신청인 서약서 * 자세한 사항은 첨부파일 참조 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고
농파장학회,장학금,민간(기타),장학금,지역연고,4년제(5~6년제포함),대학신입생,"공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 학업성적이 우수한 자 , - 가정형편이 곤란한 자, - 4년간 등록금 전액 지급, - 4년제 국내 국공립 대학합격자, - 본적이 경남출신인 자, - 2021-02-05 ~ 2021-02-10,기준없음, - 0명,"1. 형제 중 본 장학회에 입회된 자 또는 타 장학회 수혜자2. 휴학2회 이상자, 성적불량자, 장학생으로 품위가 없는 자3. 불순단체 가입자4. 중간에 대학 또는 과 바꾼 자", - 출신 고등학교장,"1. 제출처(우편접수, 방문접수 가능 / 원서접수일 마지막날까지 도착을 원칙으로 합니다. 접수 마감일에 발송할경우 원서접수 불가능)경상남도 진주시 진주대로 932(칠암동) 칠암빌딩4층 농파장학회2. 제출서류 ▷출신고등학교장의 추천서 ▷자기 소개서  ▷서약서 ▷가족관계등록부1통 (학생본인의 본적이 나와있는) ▷수능성적표 첨부 (사본가능) ▷(추천서 포함)사진2매(3cm× 4cm) ▷신입생 입학금 및 등록금 납입고지서 영수증사본 1부"
재단법인 조준장학재단,장학생,민간(기타),장학금,기타,특정대학,"대학4학기,대학5학기",특정학과," - 평균평점 4.0이상인 자, 직전학기 취득학점이 17학점 이상",제한없음," - 등록금 전액(결격사유 없을시, 1년간 지급)"," - 2020-1학기 기준 3학년 진급 예정자 (등록기준 4회이상, 전체취득학점 68학점 이상) - 군 제대 후 복학한 남학생, 지방출신자 우선선발",제한없음, - 2020-01-15 ~ 2020-02-10* 학교 추천방식으로 신청 마감일자가 상이 할 수 있음,1차 서류전형/ 2차 면접전형, - 각 학교당 1명, - 국비장학금을 포함 기타 다른 장학금을 받지 않는자,"* 학교 추천 방식으로, 신청시 각 학교 장학부서에 문의 필수.", - 장학생 지원 신청서 - 지도교수 추천서 - 자기소개서 - 성적증명서 - 재학증명서 - 주민등록 등본 1부(생년월일만 나올 수 있도록 발급) - 부모의 재산세과세증명서 또는 바과세증명서 - 개인정보수집동의서
이우장학회,우수장학생,민간(기타),장학금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음, * 자세한 사항 해당기관 문의," - 대학생 (4년제 대학교, 2~3년제) 성적 우수자 * 자세한 사항 해당기관 문의"," - 부모,조부모 혹은 본인이 가창면에 2년 이상 계속하여 주민등록을 두고 거주하고 있는 자(단 타 읍면 학생은 달성군에 주민등록을 두고 2년 이상 계속 거주자) ", - 2019-11-19~2019-12-21,기준없음,약간명, - 2019년 2월 대학 졸업예정자 제외 - 장학생 선발년도에 만 30세 이상이 되는 자 제외 - 대학원생 제외," - 대학총장(재학생), 학교장(신입생)추천 - 관할 읍/면장 추천 (장학생이 타 읍·면일 경우)", * 자세한 사항 해당기관 문의
이우장학회,기초과학분야장학생,민간(기타),장학금,지역연고,"4년제(5~6년제포함),특정대학","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,자연계열,특정학과"," - 4.5 만점 기준 3.0 이상, 4.3 만점 기준 2.8 이상, 4.0 만점 기준 2.5 이상",제한없음, * 자세한 사항 해당기관 문의," - 서울대학교, 고려대학교, 연세대학교, 이화여자대학교, 경북대학교, 영남대학교, 계명대학교 재학생 중 전공과목이 기초과학 분야인 대학생 ※ 기초과학 : 수학, 물리학, 화학, 생명과학, 지구과학(대기/해양/천문) * 자세한 사항 해당기관 문의"," - 부모,조부모 혹은 본인이 가창면에 2년 이상 계속하여 주민등록을 두고 거주하고 있는 자(단 타 읍면 학생은 달성군에 주민등록을 두고 2년 이상 계속 거주자) ", - 2019-11-19~2019-12-21까지,기준없음,약간명, - 2019년 2월 대학 졸업예정자 제외 - 장학생 선발년도에 만 30세 이상이 되는 자 제외 - 대학원생 제외," - 대학총장(재학생), 학교장(신입생)추천 - 관할 읍·면장 추천 (장학생이 타 읍·면일 경우)", * 자세한 사항 해당기관 문의
이우장학회,체육특기자,민간(기타),장학금,특기자,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생",예체능계열,제한없음,제한없음, * 자세한 사항 해당기관 문의," - 체육특기자: 육상, 구기, 수영, 빙상, 체조 - 시/도단위 대회에서 1위 이거나 전국대회에서 3위 이내의 입상 또는 국가대표로 선발된 실적이 있는 자 * 자세한 사항 해당기관 문의"," - 부모,조부모 혹은 본인이 가창면에 2년 이상 계속하여 주민등록을 두고 거주하고 있는 자(단 타 읍면 학생은 달성군에 주민등록을 두고 2년 이상 계속 거주자) ", - 2019-11-19~2019-12-21까지,기준없음,약간명, * 자세한 사항 해당기관 문의," - 대학총장(재학생), 학교장(신입생)추천 - 관할 읍·면장 추천 (장학생이 타 읍·면일 경우)", * 자세한 사항 해당기관 문의
